PID,Burst_Original,Memoria_Usada,Estado_Final
8,4,256,BLOQUEADO_MEMORIA
9,4,256,BLOQUEADO_MEMORIA
10,10,512,BLOQUEADO_MEMORIA
12,14,512,BLOQUEADO_MEMORIA
14,10,256,BLOQUEADO_MEMORIA
15,1,256,BLOQUEADO_MEMORIA
16,2,256,BLOQUEADO_MEMORIA
17,11,512,BLOQUEADO_MEMORIA
18,14,64,BLOQUEADO_MEMORIA
19,10,128,BLOQUEADO_MEMORIA
20,5,512,BLOQUEADO_MEMORIA
21,1,64,BLOQUEADO_MEMORIA
22,11,32,BLOQUEADO_MEMORIA
23,8,32,BLOQUEADO_MEMORIA
24,2,64,BLOQUEADO_MEMORIA
25,4,256,BLOQUEADO_MEMORIA
2,3,256,COMPLETADO
7,4,32,COMPLETADO
5,5,64,COMPLETADO
11,8,32,COMPLETADO
13,8,128,COMPLETADO
1,10,256,COMPLETADO
3,14,64,COMPLETADO
6,13,128,COMPLETADO
4,15,64,COMPLETADO
